stream_name,variant,estimate,ground_truth,relative_error_pct,energy_proxy,cpu_time,wall_time,cheap_hash_calls,full_hash_calls,register_updates,skipped_updates,total_items,cpu_time_per_M,wall_time_per_M,cheap_calls_per_M,full_calls_per_M,register_updates_per_M,skipped_updates_per_M,update_rate,skip_rate,dataset,trace_type,stream_size,p
wiki_chrono_p12,std_hll,1.6273984275458473e-69,46595,100.0,15649120.000000002,0.2624580000000001,0.08980607986450195,0,50000,9999,0,50000,5.249160000000002,1.796121597290039,0.0,1000000.0,199980.0,0.0,0.19998,0.0,wikipedia,chrono,50000,12
wiki_chrono_p12,thll,1.2163106199574695e-69,46595,100.0,15845740.000000006,0.27698500000000026,0.09931802749633789,0,50000,7651,42349,50000,5.539700000000005,1.9863605499267578,0.0,1000000.0,153020.0,846980.0,0.15302,0.84698,wikipedia,chrono,50000,12
wiki_chrono_p12,thll_adaptive,1.4795743778860186e-69,46595,100.0,14463840.0,0.20553,0.13713788986206055,0,50000,8831,41169,50000,4.1106,2.742757797241211,0.0,1000000.0,176620.0,823380.0,0.17662,0.82338,wikipedia,chrono,50000,12
wiki_chrono_p12,aphll,1.6273984275458473e-69,46595,100.0,12164179.999999996,0.08821099999999982,0.08879685401916504,0,50000,9999,40001,50000,1.7642199999999963,1.7759370803833008,0.0,1000000.0,199980.0,800020.0,0.19998,0.80002,wikipedia,chrono,50000,12
wiki_chrono_p12,aphll_adaptive,1.6273984275458473e-69,46595,100.0,13015220.0,0.13076299999999996,0.13136601448059082,0,50000,9999,40001,50000,2.6152599999999993,2.6273202896118164,0.0,1000000.0,199980.0,800020.0,0.19998,0.80002,wikipedia,chrono,50000,12
wiki_random_p12,std_hll,1.7077758683388136e-69,47546,100.0,12062799.999999996,0.08303199999999977,0.08312010765075684,0,50000,10054,0,50000,1.6606399999999955,1.6624021530151367,0.0,1000000.0,201080.0,0.0,0.20108,0.0,wikipedia,random,50000,12
wiki_random_p12,thll,1.2845413126896625e-69,47546,100.0,12083079.999999996,0.08856999999999982,0.08919405937194824,0,50000,7792,42208,50000,1.7713999999999963,1.7838811874389648,0.0,1000000.0,155840.0,844160.0,0.15584,0.84416,wikipedia,random,50000,12
wiki_random_p12,thll_adaptive,1.5185390325796402e-69,47546,100.0,12891840.000000002,0.1267640000000001,0.12791204452514648,0,50000,8914,41086,50000,2.535280000000002,2.5582408905029297,0.0,1000000.0,178280.0,821720.0,0.17828,0.82172,wikipedia,random,50000,12
wiki_random_p12,aphll,1.7077758683388136e-69,47546,100.0,12128020.0,0.08629299999999995,0.08635187149047852,0,50000,10054,39946,50000,1.725859999999999,1.7270374298095703,0.0,1000000.0,201080.0,798920.0,0.20108,0.79892,wikipedia,random,50000,12
wiki_random_p12,aphll_adaptive,1.7077758683388136e-69,47546,100.0,12915359.999999998,0.12565999999999988,0.12626194953918457,0,50000,10054,39946,50000,2.5131999999999977,2.5252389907836914,0.0,1000000.0,201080.0,798920.0,0.20108,0.79892,wikipedia,random,50000,12
